,start,stop,middle,duration,keys,total,bandwidth,who,type,called_from,time,compressed
2013,1713455740.9367232,1713455740.9412684,1713455740.8227782,0.0045452117919921875,"{('array-8838909ee9756e34565341881e2e6f0c', 16): 336}",336,73923.94796475032,tcp://10.201.0.212:38577,outgoing_transfer,tcp://10.201.0.229:44955,1713455740.9288807,664.0
2014,1713455740.898124,1713455740.9029953,1713455740.9005597,0.004871368408203125,"{('array-8838909ee9756e34565341881e2e6f0c', 16): 336}",336,68974.4588880188,tcp://10.201.0.229:44955,incoming_transfer,tcp://10.201.0.212:38577,1713455740.9417996,
2015,1713455741.0113366,1713455741.062288,1713455741.0368123,0.050951480865478516,"{('array-8838909ee9756e34565341881e2e6f0c', 20): 336}",336,6594.509017060822,tcp://10.201.0.212:45449,incoming_transfer,tcp://10.201.0.212:38577,1713455740.941804,
2016,1713455740.9299297,1713455740.9344742,1713455740.8226113,0.004544496536254883,"{('array-8838909ee9756e34565341881e2e6f0c', 21): 336}",336,73935.58281307382,tcp://10.201.0.212:38577,outgoing_transfer,tcp://10.201.0.212:45449,1713455740.9459405,664.0
2017,1713455741.0388925,1713455741.0399199,1713455740.9402895,0.0010273456573486328,"{('array-8838909ee9756e34565341881e2e6f0c', 20): 336}",336,327056.4270132281,tcp://10.201.0.212:38577,outgoing_transfer,tcp://10.201.0.212:45449,1713455740.9459443,664.0
2018,1713455739.760292,1713455739.8062685,1713455739.7832804,0.04597640037536621,"{('chunk_max-f51ddbdd2414581636b6798cd76ef954', 126, 0, 0, 0): 1, ('chunk_max-f51ddbdd2414581636b6798cd76ef954', 110, 0, 0, 0): 1}",2,43.500578202542016,tcp://10.201.0.229:41793,incoming_transfer,tcp://10.201.0.229:37485,1713455741.042977,
2019,1713455741.1517687,1713455741.1587014,1713455741.155235,0.006932735443115234,"{('array-8838909ee9756e34565341881e2e6f0c', 17): 336}",336,48465.7178623014,tcp://10.201.0.212:38577,incoming_transfer,tcp://10.201.0.229:37485,1713455741.042982,
2020,1713455740.867392,1713455740.9130604,1713455740.8074012,0.04566836357116699,"{('chunk_min-partial-2acf6532b07f4fbe3e253eefeb7a5ebc', 62, 0, 0, 0): 1}",1,21.89699655959112,tcp://10.201.0.229:41793,outgoing_transfer,tcp://10.201.0.212:38553,1713455741.0757923,347.0
2021,1713455741.1517687,1713455741.1587014,1713455741.155235,0.006932735443115234,"{('array-8838909ee9756e34565341881e2e6f0c', 17): 336}",336,48465.7178623014,tcp://10.201.0.212:38577,incoming_transfer,tcp://10.201.0.229:37485,1713455741.0799475,
2022,1713455741.0042512,1713455741.0054617,1713455740.8683877,0.0012104511260986328,"{('chunk_min-partial-2acf6532b07f4fbe3e253eefeb7a5ebc', 58, 0, 0, 0): 1, ('chunk_max-partial-80f8e741f300d2a084fb2c4c7220e333', 58, 0, 0, 0): 1}",2,1652.2765412645263,tcp://10.201.0.229:41793,outgoing_transfer,tcp://10.201.0.212:38553,1713455741.0757973,653.0
2023,1713455741.1806147,1713455741.194111,1713455741.187363,0.01349639892578125,"{('array-8838909ee9756e34565341881e2e6f0c', 14): 336}",336,24895.52967778406,tcp://10.201.0.212:38577,incoming_transfer,tcp://10.201.0.229:37485,1713455741.0799499,
2024,1713455740.0733645,1713455740.0756774,1713455740.0745208,0.002312898635864258,"{('block-info-_map_read_frame-c50155175b03e4c1ec9664317841e345', 36, 0, 0, 0): 3324}",3324,1437157.6637460056,tcp://10.201.0.212:45449,incoming_transfer,tcp://10.201.0.229:44955,1713455741.089138,
2025,1713455740.9000163,1713455740.9507496,1713455740.8472915,0.050733327865600586,"{('chunk_max-partial-80f8e741f300d2a084fb2c4c7220e333', 27, 0, 0, 0): 1}",1,19.710908826031176,tcp://10.201.0.212:34699,outgoing_transfer,tcp://10.201.0.212:38577,1713455741.0891142,347.0
2026,1713455740.9189122,1713455740.9679103,1713455740.832666,0.048998117446899414,"{('block-info-_map_read_frame-c50155175b03e4c1ec9664317841e345', 25, 0, 0, 0): 3324}",3324,67839.34104411886,tcp://10.201.0.212:38553,outgoing_transfer,tcp://10.201.0.212:34699,1713455741.0937276,621.0
2027,1713455741.175186,1713455741.201928,1713455741.188557,0.026741981506347656,"{('chunk_min-partial-2acf6532b07f4fbe3e253eefeb7a5ebc', 26, 0, 0, 0): 1}",1,37.39438679077066,tcp://10.201.0.212:34699,incoming_transfer,tcp://10.201.0.229:44955,1713455741.0891418,
2028,1713455741.1563535,1713455741.1628573,1713455741.0376806,0.0065038204193115234,"{('array-8838909ee9756e34565341881e2e6f0c', 17): 336}",336,51661.94303310238,tcp://10.201.0.229:37485,outgoing_transfer,tcp://10.201.0.212:38577,1713455741.0891178,664.0
2029,1713455741.1851072,1713455741.1982844,1713455741.0697708,0.013177156448364258,"{('array-8838909ee9756e34565341881e2e6f0c', 14): 336}",336,25498.672746023993,tcp://10.201.0.229:37485,outgoing_transfer,tcp://10.201.0.212:38577,1713455741.089122,664.0
2030,1713455741.2177846,1713455741.2267559,1713455741.0857043,0.008971214294433594,"{('chunk_min-partial-2acf6532b07f4fbe3e253eefeb7a5ebc', 26, 0, 0, 0): 1}",1,111.46763048793451,tcp://10.201.0.229:44955,outgoing_transfer,tcp://10.201.0.212:34699,1713455741.0937312,347.0
2031,1713455740.8511567,1713455740.852615,1713455740.8518858,0.0014584064483642578,"{('array-8838909ee9756e34565341881e2e6f0c', 22): 336}",336,230388.44923982344,tcp://10.201.0.229:37485,incoming_transfer,tcp://10.201.0.229:45945,1713455741.1670613,
2032,1713455741.261319,1713455741.263691,1713455741.2625048,0.0023720264434814453,"{('chunk_max-partial-8c47771865924cf589c1b50dcf089083', 22, 0, 0, 0): 1}",1,421.5804603477736,tcp://10.201.0.212:34699,incoming_transfer,tcp://10.201.0.229:45945,1713455741.1670647,
2033,1713455740.8905458,1713455740.9144158,1713455740.9024808,0.023869991302490234,"{('block-info-_map_read_frame-c50155175b03e4c1ec9664317841e345', 25, 0, 0, 0): 3324}",3324,139254.34483309695,tcp://10.201.0.212:34699,incoming_transfer,tcp://10.201.0.212:38553,1713455741.1897,
2034,1713455741.2804627,1713455741.3250616,1713455741.3027623,0.04459881782531738,"{('chunk_max-partial-80f8e741f300d2a084fb2c4c7220e333', 28, 0, 0, 0): 1}",1,22.422118987923724,tcp://10.201.0.212:38577,incoming_transfer,tcp://10.201.0.212:38553,1713455741.1897027,
2035,1713455741.1851072,1713455741.1982844,1713455741.0697708,0.013177156448364258,"{('array-8838909ee9756e34565341881e2e6f0c', 14): 336}",336,25498.672746023993,tcp://10.201.0.229:37485,outgoing_transfer,tcp://10.201.0.212:38577,1713455741.1978748,664.0
2036,1713455741.261319,1713455741.263691,1713455741.2625048,0.0023720264434814453,"{('chunk_max-partial-8c47771865924cf589c1b50dcf089083', 22, 0, 0, 0): 1}",1,421.5804603477736,tcp://10.201.0.212:34699,incoming_transfer,tcp://10.201.0.229:45945,1713455741.202747,
2037,1713455741.3097584,1713455741.3161764,1713455741.1910424,0.006417989730834961,"{('chunk_max-partial-80f8e741f300d2a084fb2c4c7220e333', 28, 0, 0, 0): 1}",1,155.81202867862848,tcp://10.201.0.212:38553,outgoing_transfer,tcp://10.201.0.212:38577,1713455741.1978786,347.0
